processed
-104.0 -608.0 0.0 0.0 0.0 0.19900 0.24100    110.0 -608.0 0.0 0.0 0.0 0.19900 0.24100    -104.0 -272.0 0.0 0.0 0.0 0.19900 0.24100    110.0 -272.0 0.0 0.0 0.0 0.19900 0.24100  1
-162.0 -452.0 0.0 0.0 0.0 0.19900 0.24100    -94.0 -452.0 0.0 0.0 0.0 0.19900 0.24100    -162.0 -358.0 0.0 0.0 0.0 0.19900 0.24100    -94.0 -358.0 0.0 0.0 0.0 0.19900 0.24100  1
-288.0 -462.0 0.0 0.0 0.0 0.19900 0.24100    -160.0 -462.0 0.0 0.0 0.0 0.19900 0.24100    -288.0 -364.0 0.0 0.0 0.0 0.19900 0.24100    -160.0 -364.0 0.0 0.0 0.0 0.19900 0.24100  1
-398.0 -524.0 0.0 0.0 0.0 0.19900 0.24100    -272.0 -524.0 0.0 0.0 0.0 0.19900 0.24100    -398.0 -430.0 0.0 0.0 0.0 0.19900 0.24100    -272.0 -430.0 0.0 0.0 0.0 0.19900 0.24100  1
-530.0 -608.0 0.0 0.0 0.0 0.19900 0.24100    -368.0 -608.0 0.0 0.0 0.0 0.19900 0.24100    -530.0 -492.0 0.0 0.0 0.0 0.19900 0.24100    -368.0 -492.0 0.0 0.0 0.0 0.19900 0.24100  1
-640.0 -638.0 0.0 0.0 0.0 0.19900 0.24100    -482.0 -638.0 0.0 0.0 0.0 0.19900 0.24100    -640.0 -560.0 0.0 0.0 0.0 0.19900 0.24100    -482.0 -560.0 0.0 0.0 0.0 0.19900 0.24100  1
-926.0 -1306.0 0.0 0.0 0.0 0.19900 0.24100    -758.0 -1306.0 0.0 0.0 0.0 0.19900 0.24100    -926.0 -864.0 0.0 0.0 0.0 0.19900 0.24100    -758.0 -864.0 0.0 0.0 0.0 0.19900 0.24100  1
-926.0 -1702.0 0.0 0.0 0.0 0.19900 0.24100    -714.0 -1702.0 0.0 0.0 0.0 0.19900 0.24100    -926.0 -1312.0 0.0 0.0 0.0 0.19900 0.24100    -714.0 -1312.0 0.0 0.0 0.0 0.19900 0.24100  1
-716.0 -1866.0 0.0 0.0 0.0 0.19900 0.24100    -544.0 -1866.0 0.0 0.0 0.0 0.19900 0.24100    -716.0 -1416.0 0.0 0.0 0.0 0.19900 0.24100    -544.0 -1416.0 0.0 0.0 0.0 0.19900 0.24100  1
-572.0 -1974.0 0.0 0.0 0.0 0.19900 0.24100    -286.0 -1974.0 0.0 0.0 0.0 0.19900 0.24100    -572.0 -1550.0 0.0 0.0 0.0 0.19900 0.24100    -286.0 -1550.0 0.0 0.0 0.0 0.19900 0.24100  1
-566.0 -1554.0 0.0 0.0 0.0 0.19900 0.24100    -436.0 -1554.0 0.0 0.0 0.0 0.19900 0.24100    -566.0 -1496.0 0.0 0.0 0.0 0.19900 0.24100    -436.0 -1496.0 0.0 0.0 0.0 0.19900 0.24100  1
-28.0 -2188.0 0.0 0.0 0.0 0.19900 0.24100    322.0 -2188.0 0.0 0.0 0.0 0.19900 0.24100    -28.0 -1550.0 0.0 0.0 0.0 0.19900 0.24100    322.0 -1550.0 0.0 0.0 0.0 0.19900 0.24100  1
842.0 -1930.0 0.0 0.0 0.0 0.19900 0.24100    1134.0 -1930.0 0.0 0.0 0.0 0.19900 0.24100    842.0 -1514.0 0.0 0.0 0.0 0.19900 0.24100    1134.0 -1514.0 0.0 0.0 0.0 0.19900 0.24100  1
966.0 -1752.0 0.0 0.0 0.0 0.19900 0.24100    1288.0 -1752.0 0.0 0.0 0.0 0.19900 0.24100    966.0 -1372.0 0.0 0.0 0.0 0.19900 0.24100    1288.0 -1372.0 0.0 0.0 0.0 0.19900 0.24100  1
1050.0 -1474.0 0.0 0.0 0.0 0.19900 0.24100    1384.0 -1474.0 0.0 0.0 0.0 0.19900 0.24100    1050.0 -1232.0 0.0 0.0 0.0 0.19900 0.24100    1384.0 -1232.0 0.0 0.0 0.0 0.19900 0.24100  1
